Alcoholic Beverages_p,Animal Products_p,Animal fats_p,"Aquatic Products, Other_p",Cereals - Excluding Beer_p,Eggs_p,"Fish, Seafood_p",Fruits - Excluding Wine_p,Meat_p,Milk - Excluding Butter_p,Offals_p,Oilcrops_p,Pulses_p,Spices_p,Starchy Roots_p,Stimulants_p,Sugar Crops_p,Sugar & Sweeteners_p,Treenuts_p,Vegetal Products_p,Vegetable Oils_p,Vegetables_p,Miscellaneous_p,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.0787,15.405,0.0358,0.0,23.6119,2.6188,0.5581,0.6583,8.7221,2.9408,0.5366,1.431,6.597,0.0859,0.2504,0.4865,0.0,0.0,0.1002,34.595,0.0143,1.1806,0.09300000000000001,Guatemala,18.8,15.199999809265137,0.9018985940440608,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0
0.0404,9.2262,0.0162,0.0,26.1017,0.4286,2.4419999999999997,1.3019,4.1077,1.4797,0.7601,3.5417,2.1590000000000003,0.0,3.0403,0.2183,0.0,0.0,0.0,40.7779,0.0081,4.2371,0.1132,Guinea,6.6,16.5,0.11675955414012701,0.0006687898089171969,0.114012738853503,0.00207802547770701,12560000.0
0.1925,10.5663,0.034,0.0,30.7701,0.2718,0.4077,0.9966,6.761,2.1857,0.9059999999999999,1.2684,1.3364,0.0,1.88,0.0793,0.0,0.0,1.8913,39.4337,0.0113,0.7928,0.2152,Guinea-Bissau,8.2,28.0,0.143850544888428,0.00238713025428127,0.12594706798131802,0.0155163466528282,1927000.0
0.1537,22.1489,0.0114,0.0,15.7922,0.2902,4.6153,0.8821,8.5306,8.5249,0.1821,2.0885,2.3902,0.6203,0.7341,0.2959,0.0,0.0,0.1821,27.8511,0.0285,4.456,0.2219,Guyana,19.2,8.100000381469727,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0
0.0,9.993,0.03,0.0,22.5894,0.1302,1.3217,1.2616,6.138,1.6922,0.6809,1.3117,10.3835,0.0,2.6434,0.8511,0.0,0.01,0.0,40.012,0.01,0.8009999999999999,0.1402,Haiti,20.5,49.29999923706055,0.10311321582039801,0.00214855739717618,0.0802946593001842,0.0206699991230378,11403000.0
0.1091,17.3784,0.0156,0.0,23.5193,0.9196,0.6546,0.7481,9.11,6.1253,0.5533,0.2182,6.1877,0.0312,0.1948,0.6858,0.0,0.0,0.039,32.6216,0.0156,0.6858,0.187,Honduras,19.4,12.899999618530273,1.5602696674777,0.0376115166261152,0.6263686131386861,0.896289537712895,9864000.0
0.5289,28.3269,0.5687,0.0,15.6506,2.4056,1.035,0.4208,14.4791,9.8157,0.0171,0.2616,1.0009,0.1877,1.1601,0.4777,0.0,0.0,0.0284,21.6731,0.1081,1.8369,0.0171,Hungary,28.6,2.5,3.84073922391727,0.13336746186137,2.84579707177229,0.8615746902836079,9767000.0
0.3794,35.786,0.3298,0.0,9.3826,1.2163,9.3968,0.6383,11.7124,12.5102,0.617,0.5142,0.1596,0.1312,0.5674,0.9184,0.0,0.0035,0.1773,14.2158,0.0035,0.9787,0.3617,Iceland,23.1,2.5,1.6361413043478301,0.0078804347826087,1.61929347826087,0.00896739130434783,368000.0
0.0077,11.2582,0.0306,0.0,25.2794,0.7271,1.5537,0.6659,1.0179,7.8142,0.1225,1.1174,7.2096,0.8189,0.8955,0.17600000000000002,0.0,0.0459,0.1837,38.7418,0.0,2.3343,0.0,India,3.8,14.5,0.7732564102564101,0.0110703521177059,0.7515606742375541,0.0106253839011499,1400100000.0
0.0073,16.164,0.0219,0.0,27.3237,1.2821,10.1617,0.743,2.9210000000000003,1.0854,0.6920000000000001,2.3529,0.4953,0.3351,0.7503,0.4006,0.0,0.0219,0.102,33.836,0.0,1.2966,0.0073,Indonesia,6.9,8.300000190734863,0.42209988260794395,0.0115526295452622,0.345619877897541,0.0649273751651401,271739000.0
