Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
3.2902,15.3684,4.162,0.0,12.4016,0.6187,0.5343,1.5607,5.0759,4.9072,0.0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,0.0,6.482,0.7593,34.6316,6.1867,1.0827,Germany,25.7,2.5,2.7431008403361297,0.073890756302521,2.45136614645858,0.21784393757502998,83300000.0
0.3956,2.1263,0.0989,0.0,13.8784,0.0659,0.9229999999999999,5.6865,0.7417,0.2308,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0.0,0.0659,1.9779,0.0989,47.8655,2.4065,0.4121,Ghana,9.7,5.5,0.22542400154474898,0.00144498439159399,0.20436391722717498,0.0196150999259808,31073000.0
1.0285,11.4771,0.7006,0.0,14.4731,0.4919,0.5068,2.2954,4.1586,5.4255,0.16399999999999998,0.1938,0.8794,0.6707,0.0596,1.5203,0.4919,0.0,4.2629,1.0434,38.5303,10.1654,1.4607,Greece,27.4,2.5,1.5253551401869199,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0
1.9979,12.2581,0.7284,0.0,13.7565,0.7284,1.1446,3.5588,5.7648,3.8085,0.3538,0.0832,1.1863,1.3111,0.6452,1.1446,0.3122,0.0,7.9084,0.0416,37.7523,4.9116,0.6035,Grenada,20.2,5.099999952316284,0.13097345132743402,0.000884955752212389,0.129203539823009,0.000884955752212389,113000.0
0.5887,5.5534,0.3925,0.0,23.8619,0.9419,0.0981,1.3736,2.551,1.4914,0.0589,0.0785,1.0793,2.7473,0.0589,0.3532,0.1766,0.0,9.3995,0.2159,44.4662,3.748,0.7653,Guatemala,18.8,15.199999809265137,0.9018985940440608,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0
0.0894,2.415,0.161,0.0,24.8479,0.1073,0.3399,2.5939,1.0376,0.6619,0.0716,0.1073,1.8784,0.7335,0.0,6.7979,0.0894,0.0,2.2182,0.0,47.585,6.6547,1.61,Guinea,6.6,16.5,0.11675955414012701,0.0006687898089171969,0.114012738853503,0.00207802547770701,12560000.0
0.6881,3.8624,0.1554,0.0,28.6127,0.0666,0.0444,1.9534,2.5971,0.8657,0.1332,0.111,0.5771,0.3996,0.0,4.1065,0.0666,0.0,0.6881,1.1543,46.1487,7.5028,0.2664,Guinea-Bissau,8.2,28.0,0.143850544888428,0.00238713025428127,0.12594706798131802,0.0155163466528282,1927000.0
0.5719,9.0121,0.20800000000000002,0.0,21.2998,0.1213,0.8666,2.253,3.6915,4.1075,0.1906,0.0347,2.5303,1.1612,0.5546,1.3345,0.2773,0.0,5.5459,0.2253,40.9879,1.8371,3.1889,Guyana,19.2,8.100000381469727,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0
2.0559,3.7884,0.3234,0.0,21.5754,0.0462,0.2079,2.9568,2.079,1.0626,0.0924,0.0924,0.8085,3.8346,0.0,5.7057,0.2079,0.0,4.0425,0.0,46.2,4.5507,0.3696,Haiti,20.5,49.29999923706055,0.10311321582039801,0.00214855739717618,0.0802946593001842,0.0206699991230378,11403000.0
0.7052,6.7385,0.6464,0.0,23.3301,0.2938,0.0979,1.5475,2.8991,2.7032,0.1567,0.0784,0.1763,2.3898,0.0196,0.2938,0.2351,0.0,8.5406,0.0392,43.2517,5.4848,0.3722,Honduras,19.4,12.899999618530273,1.5602696674777,0.0376115166261152,0.6263686131386861,0.896289537712895,9864000.0
